GTIN,TITLE,DESCRIPTION_CLEAN,CATEGORY_PATH,SEARCH_TEXT
00123456000011,GoldenHarvest GoldenHarvest Oat Flakes 18oz,"Whole grain rolled oats, lightly toasted for a hearty breakfast",Food > Breakfast Cereals > Oatmeal,"GTIN: 00123456000011 | Brand: GoldenHarvest | GoldenHarvest Oat Flakes 18oz | Price: $4.29 | Size: 18 oz | Category: Breakfast Cereals > Oatmeal | Allergens: Contains wheat and oats (gluten) | Nutrition per 100g: 375 kcal, 13g protein, 7g fat, 63g carbs, 1g sugar | Origin: USA | Availability: In Stock"
00123456000028,GoldenHarvest GoldenHarvest Honey Granola 16oz,Crunchy granola clusters with real honey and whole grain oats,Food > Breakfast Cereals > Granola,"GTIN: 00123456000028 | Brand: GoldenHarvest | GoldenHarvest Honey Granola 16oz | Price: $5.49 | Size: 16 oz | Category: Breakfast Cereals > Granola | Allergens: Contains wheat, oats (gluten) and tree nuts | Nutrition per 100g: 450 kcal, 9g protein, 18g fat, 62g carbs, 22g sugar | Origin: USA | Availability: In Stock"
00123456000035,MorningField MorningField Bran Flakes 14oz,High-fiber bran cereal with essential vitamins and minerals,Food > Breakfast Cereals > Bran Cereal,"GTIN: 00123456000035 | Brand: MorningField | MorningField Bran Flakes 14oz | Price: $3.79 | Size: 14 oz | Category: Breakfast Cereals > Bran Cereal | Allergens: Contains wheat (gluten) | Nutrition per 100g: 330 kcal, 10g protein, 2.5g fat, 77g carbs, 13g sugar | Origin: USA | Availability: In Stock"
00123456000042,MorningField MorningField Fruit & Nut Muesli 20oz,"Swiss-style muesli with dried cranberries, raisins and almonds",Food > Breakfast Cereals > Muesli,"GTIN: 00123456000042 | Brand: MorningField | MorningField Fruit & Nut Muesli 20oz | Price: $6.99 | Size: 20 oz | Category: Breakfast Cereals > Muesli | Allergens: Contains wheat (gluten), milk, and tree nuts | Nutrition per 100g: 365 kcal, 10.5g protein, 8.5g fat, 60g carbs, 18g sugar | Origin: Switzerland | Availability: In Stock"
00123456000059,NaturePath NaturePath Organic Corn Flakes 12oz,Simple organic corn flakes with no added sugar,Food > Breakfast Cereals > Corn Flakes,"GTIN: 00123456000059 | Brand: NaturePath | NaturePath Organic Corn Flakes 12oz | Price: $4.49 | Size: 12 oz | Category: Breakfast Cereals > Corn Flakes | Allergens: Gluten-free facility. No major allergens | Nutrition per 100g: 380 kcal, 7g protein, 0.8g fat, 87g carbs, 2.5g sugar | Origin: USA | Availability: In Stock"
00123456000066,NaturePath NaturePath Steel Cut Oats 24oz,Premium steel-cut oats for slow-cooked porridge,Food > Breakfast Cereals > Oatmeal,"GTIN: 00123456000066 | Brand: NaturePath | NaturePath Steel Cut Oats 24oz | Price: $5.99 | Size: 24 oz | Category: Breakfast Cereals > Oatmeal | Allergens: Contains oats (gluten). Processed in a facility that handles tree nuts | Nutrition per 100g: 370 kcal, 12.5g protein, 6.5g fat, 62g carbs, 0.5g sugar | Origin: USA | Availability: In Stock"
00123456000073,SunriseGrains SunriseGrains Chocolate Puffs 13oz,Crispy chocolate-flavored puffed rice cereal,Food > Breakfast Cereals > Puffed Cereal,"GTIN: 00123456000073 | Brand: SunriseGrains | SunriseGrains Chocolate Puffs 13oz | Price: $3.99 | Size: 13 oz | Category: Breakfast Cereals > Puffed Cereal | Allergens: Contains milk and soy | Nutrition per 100g: 410 kcal, 5.5g protein, 4.5g fat, 82g carbs, 33g sugar | Origin: USA | Availability: In Stock"
00123456000080,SunriseGrains SunriseGrains Protein Crunch 15oz,High-protein cereal with soy crisps and flaxseed,Food > Breakfast Cereals > Protein Cereal,"GTIN: 00123456000080 | Brand: SunriseGrains | SunriseGrains Protein Crunch 15oz | Price: $6.49 | Size: 15 oz | Category: Breakfast Cereals > Protein Cereal | Allergens: Contains wheat (gluten), milk, and soy | Nutrition per 100g: 380 kcal, 20g protein, 5g fat, 55g carbs, 9g sugar | Origin: USA | Availability: In Stock"
00123456000097,GoldenHarvest GoldenHarvest Instant Oatmeal Variety 10pk,"Assorted instant oatmeal packets - maple, apple cinnamon, original",Food > Breakfast Cereals > Instant Oatmeal,"GTIN: 00123456000097 | Brand: GoldenHarvest | GoldenHarvest Instant Oatmeal Variety 10pk | Price: $4.99 | Size: 10 ct | Category: Breakfast Cereals > Instant Oatmeal | Allergens: Contains wheat, oats (gluten) and milk | Nutrition per 100g: 370 kcal, 8g protein, 6g fat, 66g carbs, 12g sugar | Origin: USA | Availability: In Stock"
00123456000103,MorningField MorningField Cinnamon Squares 14.5oz,Crunchy cinnamon-flavored whole wheat squares,Food > Breakfast Cereals > Flavored Cereal,"GTIN: 00123456000103 | Brand: MorningField | MorningField Cinnamon Squares 14.5oz | Price: $4.19 | Size: 14.5 oz | Category: Breakfast Cereals > Flavored Cereal | Allergens: Contains wheat (gluten) and soy | Nutrition per 100g: 400 kcal, 5.5g protein, 8g fat, 73g carbs, 25g sugar | Origin: USA | Availability: In Stock"
00123456000110,PureDairy PureDairy Whole Milk 1 Gallon,"Fresh pasteurized whole milk from local farms, Vitamin D added",Food > Dairy > Whole Milk,"GTIN: 00123456000110 | Brand: PureDairy | PureDairy Whole Milk 1 Gallon | Price: $4.59 | Size: 128 fl oz | Category: Dairy > Whole Milk | Allergens: Contains milk | Nutrition per 100g: 61 kcal, 3.3g protein, 3.3g fat, 4.7g carbs, 5g sugar | Origin: USA | Availability: In Stock"
00123456000127,PureDairy PureDairy 2% Reduced Fat Milk Half Gallon,Reduced fat milk with Vitamin A and D,Food > Dairy > Reduced Fat Milk,"GTIN: 00123456000127 | Brand: PureDairy | PureDairy 2% Reduced Fat Milk Half Gallon | Price: $3.29 | Size: 64 fl oz | Category: Dairy > Reduced Fat Milk | Allergens: Contains milk | Nutrition per 100g: 50 kcal, 3.4g protein, 2g fat, 4.8g carbs, 5.1g sugar | Origin: USA | Availability: In Stock"
00123456000134,CreamValley CreamValley Greek Yogurt Plain 32oz,"Thick and creamy strained Greek yogurt, no added sugar",Food > Dairy > Greek Yogurt,"GTIN: 00123456000134 | Brand: CreamValley | CreamValley Greek Yogurt Plain 32oz | Price: $5.99 | Size: 32 oz | Category: Dairy > Greek Yogurt | Allergens: Contains milk | Nutrition per 100g: 97 kcal, 10g protein, 5g fat, 3.6g carbs, 3.6g sugar | Origin: USA | Availability: In Stock"
