SKU,VENDOR,ITEM_NAME,DEPARTMENT,PRICE,SIZE_TEXT,ALLERGEN_NOTES,IN_STOCK,UPC_CODE,LAST_UPDATED
SKU-00001,GoldenHarvest,GoldenHarvest Oat Flakes 18oz,Breakfast Cereals,4.29,18 oz,Contains wheat and oats (gluten),Yes,,2026-03-12
SKU-00002,GoldenHarvest,GoldenHarvest Honey Granola 16oz,Breakfast Cereals,5.49,16 oz,"Contains wheat, oats (gluten) and tree nuts",Yes,,2026-03-02
SKU-00003,MorningField,MorningField Bran Flakes 14oz,Breakfast Cereals,3.11,14 oz,Contains wheat (gluten),Yes,,2026-02-12
SKU-00004,MorningField,MorningField Fruit & Nut Muesli 20oz,Breakfast Cereals,5.73,20 oz,"Contains wheat (gluten), milk, and tree nuts",Yes,,2026-04-25
SKU-00005,NaturePath,NaturePath Organic Corn Flakes 12oz,Breakfast Cereals,4.49,12 oz,Gluten-free facility. No major allergens,Yes,,2026-01-23
SKU-00006,NaturePath,NaturePath Steel Cut Oats 24oz,Breakfast Cereals,5.99,24 oz,Contains oats (gluten). Processed in a facility that handles tree nuts,Yes,,2026-01-31
SKU-00007,SunriseGrains,SunriseGrains Chocolate Puffs 13oz,Breakfast Cereals,3.99,13 oz,Contains milk and soy,Yes,,2026-03-02
SKU-00008,SunriseGrains,Crunch 15oz,Breakfast Cereals,6.49,15 oz,"Contains wheat (gluten), milk, and soy",Out of Stock,00123456000080,2026-04-14
SKU-00009,GoldenHarvest,Variety 10pk,Breakfast Cereals,4.99,10 ct,"Contains wheat, oats (gluten) and milk",Yes,00123456000097,2026-01-15
SKU-00010,MorningField,MorningField Cinnamon Squares 14.5oz,Breakfast Cereals,4.19,14.5 oz,Contains wheat (gluten) and soy,Yes,,2026-04-05
SKU-00011,PureDairy,PureDairy Whole Milk 1 Gallon,Dairy,4.59,128 fl oz,Contains milk,Yes,,2025-11-24
SKU-00012,PureDairy,PureDairy 2% Reduced Fat Milk Half Gallon,Dairy,3.29,64 fl oz,Contains milk,Yes,,2026-01-17
SKU-00013,CreamValley,CreamValley Greek Yogurt Plain 32oz,Dairy,5.99,32 oz,Contains milk,Yes,,2026-03-01
SKU-00014,CreamValley,Strawberry 5.3oz,Dairy,1.49,5.3 oz,Contains milk,Yes,00123456000141,2026-03-10
SKU-00015,CREAMVALLEY,Yogurt 6oz,Dairy,1.07,6 oz,Contains milk,Yes,00123456000158,2026-01-02
SKU-00016,WisconsinPride,Cheddar 8oz,Dairy,4.99,8 oz,Contains milk,Yes,00123456000165,2026-01-27
SKU-00017,WisconsinPride,Shredded 16oz,Dairy,5.49,16 oz,Contains milk,Yes,00123456000172,2026-02-22
SKU-00018,PureDairy,PureDairy Heavy Cream 16 fl oz,Dairy,4.79,16 fl oz,Contains milk,Yes,,2025-12-30
SKU-00019,CREAMVALLEY,CreamValley Cottage Cheese 16oz,Dairy,3.99,16 oz,Contains milk,Yes,,2026-04-02
SKU-00020,PureDairy,PureDairy Butter Unsalted 1lb,Dairy,5.29,16 oz,Contains milk,Yes,,2026-01-01
