SKU,TITLE,SEARCH_TEXT
SKU-00041,CleanHome CleanHome All-Purpose Cleaner 32oz,"SKU: SKU-00041 | Vendor: CleanHome | CleanHome All-Purpose Cleaner 32oz | Price: $4.49 | Size: 32 fl oz | Department: Cleaning | Allergens: Not a food product | In Stock: Yes | Nutrition: 0 cal, Protein: 0g, Fat: 0g"
SKU-00002,GoldenHarvest GoldenHarvest Honey Granola 16oz,"SKU: SKU-00002 | Vendor: GoldenHarvest | GoldenHarvest Honey Granola 16oz | Price: $5.49 | Size: 16 oz | Department: Breakfast Cereals | Allergens: Contains wheat, oats (gluten) and tree nuts | In Stock: Yes | Nutrition: 450 cal, Protein: 9g, Fat: 18g"
SKU-00019,CREAMVALLEY CreamValley Cottage Cheese 16oz,"SKU: SKU-00019 | Vendor: CREAMVALLEY | CreamValley Cottage Cheese 16oz | Price: $3.99 | Size: 16 oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes | Nutrition: 100 cal, Protein: 11g, Fat: 4g"
SKU-00029,LeafBrew LeafBrew Chai Latte Mix 10ct,"SKU: SKU-00029 | Vendor: LeafBrew | LeafBrew Chai Latte Mix 10ct | Price: $6.49 | Size: 10 ct | Department: Beverages | Allergens: Contains milk | In Stock: Yes | Nutrition: 90 cal, Protein: 2g, Fat: 2g"
SKU-00031,CrunchCraft CrunchCraft Sea Salt Kettle Chips 7oz,"SKU: SKU-00031 | Vendor: CrunchCraft | CrunchCraft Sea Salt Kettle Chips 7oz | Price: $3.99 | Size: 7 oz | Department: Snacks | Allergens: No major allergens. Made in a facility that processes milk | In Stock: Yes | Nutrition: 530 cal, Protein: 6g, Fat: 30g"
SKU-00042,CleanHome CleanHome Dish Soap Lemon 22oz,"SKU: SKU-00042 | Vendor: CleanHome | CleanHome Dish Soap Lemon 22oz | Price: $3.29 | Size: 22 fl oz | Department: Cleaning | Allergens: Not a food product | In Stock: Yes | Nutrition: 0 cal, Protein: 0g, Fat: 0g"
SKU-00046,FrostBite FrostBite Pepperoni Pizza 2pk,"SKU: SKU-00046 | Vendor: FrostBite | FrostBite Pepperoni Pizza 2pk | Price: $7.99 | Size: 2 ct | Department: Frozen | Allergens: Contains wheat (gluten), milk, and soy | In Stock: Yes | Nutrition: 240 cal, Protein: 11g, Fat: 10g"
SKU-00051,HearthBaked HearthBaked Whole Wheat Bread 20oz,"SKU: SKU-00051 | Vendor: HearthBaked | HearthBaked Whole Wheat Bread 20oz | Price: $3.99 | Size: 20 oz | Department: Bakery | Allergens: Contains wheat (gluten) and soy | In Stock: Yes | Nutrition: 250 cal, Protein: 10g, Fat: 4g"
SKU-00001,GoldenHarvest GoldenHarvest Oat Flakes 18oz,"SKU: SKU-00001 | Vendor: GoldenHarvest | GoldenHarvest Oat Flakes 18oz | Price: $4.29 | Size: 18 oz | Department: Breakfast Cereals | Allergens: Contains wheat and oats (gluten) | In Stock: Yes | Nutrition: 380 cal, Protein: 13g, Fat: 7g"
SKU-00004,MorningField MorningField Fruit & Nut Muesli 20oz,"SKU: SKU-00004 | Vendor: MorningField | MorningField Fruit & Nut Muesli 20oz | Price: $5.73 | Size: 20 oz | Department: Breakfast Cereals | Allergens: Contains wheat (gluten), milk, and tree nuts | In Stock: Yes | Nutrition: 370 cal, Protein: 11g, Fat: 9g"
SKU-00005,NaturePath NaturePath Organic Corn Flakes 12oz,"SKU: SKU-00005 | Vendor: NaturePath | NaturePath Organic Corn Flakes 12oz | Price: $4.49 | Size: 12 oz | Department: Breakfast Cereals | Allergens: Gluten-free facility. No major allergens | In Stock: Yes | Nutrition: 380 cal, Protein: 7g, Fat: 1g"
SKU-00006,NaturePath NaturePath Steel Cut Oats 24oz,"SKU: SKU-00006 | Vendor: NaturePath | NaturePath Steel Cut Oats 24oz | Price: $5.99 | Size: 24 oz | Department: Breakfast Cereals | Allergens: Contains oats (gluten). Processed in a facility that handles tree nuts | In Stock: Yes | Nutrition: 370 cal, Protein: 13g, Fat: 7g"
SKU-00007,SunriseGrains SunriseGrains Chocolate Puffs 13oz,"SKU: SKU-00007 | Vendor: SunriseGrains | SunriseGrains Chocolate Puffs 13oz | Price: $3.99 | Size: 13 oz | Department: Breakfast Cereals | Allergens: Contains milk and soy | In Stock: Yes | Nutrition: 410 cal, Protein: 6g, Fat: 5g"
SKU-00012,PureDairy PureDairy 2% Reduced Fat Milk Half Gallon,"SKU: SKU-00012 | Vendor: PureDairy | PureDairy 2% Reduced Fat Milk Half Gallon | Price: $3.29 | Size: 64 fl oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes | Nutrition: 50 cal, Protein: 3g, Fat: 2g"
SKU-00013,CreamValley CreamValley Greek Yogurt Plain 32oz,"SKU: SKU-00013 | Vendor: CreamValley | CreamValley Greek Yogurt Plain 32oz | Price: $5.99 | Size: 32 oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes | Nutrition: 100 cal, Protein: 10g, Fat: 5g"
SKU-00018,PureDairy PureDairy Heavy Cream 16 fl oz,"SKU: SKU-00018 | Vendor: PureDairy | PureDairy Heavy Cream 16 fl oz | Price: $4.79 | Size: 16 fl oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes | Nutrition: 340 cal, Protein: 2g, Fat: 36g"
SKU-00020,PureDairy PureDairy Butter Unsalted 1lb,"SKU: SKU-00020 | Vendor: PureDairy | PureDairy Butter Unsalted 1lb | Price: $5.29 | Size: 16 oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes | Nutrition: 720 cal, Protein: 1g, Fat: 81g"
SKU-00023,MountainSpring MountainSpring Sparkling Water Lemon 12pk,"SKU: SKU-00023 | Vendor: MountainSpring | MountainSpring Sparkling Water Lemon 12pk | Price: $5.49 | Size: 144 fl oz | Department: Beverages | Allergens: No major allergens | In Stock: Yes | Nutrition: 0 cal, Protein: 0g, Fat: 0g"
