SCRAPED_ID,PAGE_TITLE,PAGE_URL,BRAND_TEXT,DESCRIPTION_HTML,WEIGHT_TEXT,BREADCRUMB,PRICE_SCRAPED,ALLERGEN_TEXT,CAL_TEXT,FAT_TEXT,PROTEIN_TEXT,STAR_RATING,REVIEW_COUNT,AVAILABILITY,PROMO_BADGE,SCRAPED_AT
SCR-0001,GoldenHarvest Oat Flakes 18oz | GoldenHarvest | Buy Online,https://shopmart.example.com/products/goldenharvest-oat-flakes-18oz,GoldenHarvest,"Whole grain rolled oats, lightly toasted for a hearty breakfast Perfect for the whole family! Great value.",18 oz,Home > Shop > Food > Breakfast Cereals,4.29,Contains wheat and oats (gluten),375.0,7.0,13.0,3.1,250,In Stock,,2026-07-30T09:26:32.463000-07:00
SCR-0002,GoldenHarvest Honey Granola 16oz | GoldenHarvest | Buy Online,https://shopmart.example.com/products/goldenharvest-honey-granola-16oz,GoldenHarvest,Crunchy granola clusters with real honey and whole grain oats Perfect for the whole family! Great value.,16oz,Home > Shop > Food > Breakfast Cereals,5.49,"Contains wheat, oats (gluten) and tree nuts",450.0,18.0,9.0,4.1,250,In Stock,,2026-08-09T09:26:32.463000-07:00
SCR-0003,MorningField Bran Flakes 14oz | MorningField | Buy Online,https://shopmart.example.com/products/morningfield-bran-flakes-14oz,MorningField,High-fiber bran cereal with essential vitamins and minerals Perfect for the whole family! Great value.,14 oz,Home > Shop > Food > Breakfast Cereals,3.79,Contains wheat (gluten),330.0,2.5,10.0,3.9,143,In Stock,,2026-07-22T09:26:32.463000-07:00
SCR-0004,MorningField Fruit & Nut Muesli 20oz | MorningField | Buy Online,https://shopmart.example.com/products/morningfield-fruit-&-nut-muesli-20oz,MorningField,"Swiss-style muesli with dried cranberries, raisins and almonds Perfect for the whole family! Great value.",20 oz,Home > Shop > Food > Breakfast Cereals,6.99,"Contains wheat (gluten), milk, and tree nuts",365.0,8.5,10.5,4.7,143,In Stock,,2026-08-03T09:26:32.463000-07:00
SCR-0005,NaturePath Organic Corn Flakes 12oz | NaturePath | Buy Online,https://shopmart.example.com/products/naturepath-organic-corn-flakes-12oz,NaturePath,Simple organic corn flakes with no added sugar Perfect for the whole family! Great value.,12 oz,Home > Shop > Food > Breakfast Cereals,4.49,Gluten-free facility. No major allergens,380.0,0.8,7.0,3.9,251,In Stock,,2026-07-22T09:26:32.463000-07:00
SCR-0006,NaturePath Steel Cut Oats 24oz | NaturePath | Buy Online,https://shopmart.example.com/products/naturepath-steel-cut-oats-24oz,NaturePath,Premium steel-cut oats for slow-cooked porridge Perfect for the whole family! Great value.,24 oz,Home > Shop > Food > Breakfast Cereals,5.99,Contains oats (gluten). Processed in a facility that handles tree nuts,370.0,6.5,12.5,3.1,251,In Stock,,2026-08-09T09:26:32.463000-07:00
SCR-0007,SunriseGrains Chocolate Puffs 13oz | SunriseGrains | Buy Online,https://shopmart.example.com/products/sunrisegrains-chocolate-puffs-13oz,SunriseGrains,Crispy chocolate-flavored puffed rice cereal Perfect for the whole family! Great value.,13oz,Home > Shop > Food > Breakfast Cereals,3.99,Contains milk and soy,410.0,4.5,5.5,4.1,244,In Stock,,2026-08-09T09:26:32.463000-07:00
SCR-0008,SunriseGrains Protein Crunch 15oz | SunriseGrains | Buy Online,https://shopmart.example.com/products/sunrisegrains-protein-crunch-15oz,SunriseGrains,High-protein cereal with soy crisps and flaxseed Perfect for the whole family! Great value.,15oz,Home > Shop > Food > Breakfast Cereals,6.49,,380.0,5.0,20.0,3.8,244,In Stock,SALE - Save 20%!,2026-07-23T09:26:32.463000-07:00
SCR-0009,GoldenHarvest Instant Oatmeal Variety 10pk | GoldenHarvest | Buy Online,https://shopmart.example.com/products/goldenharvest-instant-oatmeal-variety-10pk,GoldenHarvest,"Assorted instant oatmeal packets - maple, apple cinnamon, original Perfect for the whole family! Great value.",10 ct,Home > Shop > Food > Breakfast Cereals,4.99,,370.0,6.0,8.0,4.7,250,In Stock,Best Seller,2026-07-14T09:26:32.463000-07:00
SCR-0010,MorningField Cinnamon Squares 14.5oz | MorningField | Buy Online,https://shopmart.example.com/products/morningfield-cinnamon-squares-14.5oz,MorningField,Crunchy cinnamon-flavored whole wheat squares Perfect for the whole family! Great value.,14.5 oz,Home > Shop > Food > Breakfast Cereals,4.19,Contains wheat (gluten) and soy,400.0,8.0,5.5,4.7,143,In Stock,,2026-07-24T09:26:32.463000-07:00
SCR-0011,PureDairy Whole Milk 1 Gallon | PureDairy | Buy Online,https://shopmart.example.com/products/puredairy-whole-milk-1-gallon,PureDairy,"Fresh pasteurized whole milk from local farms, Vitamin D added Perfect for the whole family! Great value.",128 fl oz,Home > Shop > Food > Dairy,4.59,Contains milk,61.0,3.3,3.3,3.9,114,In Stock,,2026-07-12T09:26:32.463000-07:00
SCR-0012,PureDairy 2% Reduced Fat Milk Half Gallon | PureDairy | Buy Online,https://shopmart.example.com/products/puredairy-2%-reduced-fat-milk-half-gallon,PUREDAIRY,Reduced fat milk with Vitamin A and D Perfect for the whole family! Great value.,64fl oz,Home > Shop > Food > Dairy,3.29,Contains milk,50.0,2.0,3.4,4.5,114,In Stock,,2026-07-16T09:26:32.463000-07:00
SCR-0013,CreamValley Greek Yogurt Plain 32oz | CreamValley | Buy Online,https://shopmart.example.com/products/creamvalley-greek-yogurt-plain-32oz,CreamValley,"Thick and creamy strained Greek yogurt, no added sugar Perfect for the whole family! Great value.",32oz,Home > Shop > Food > Dairy,5.99,Contains milk,10.0,5.0,10.0,4.2,300,In Stock,,2026-07-19T09:26:32.463000-07:00
SCR-0014,CreamValley Greek Yogurt Strawberry 5.3oz | CreamValley | Buy Online,https://shopmart.example.com/products/creamvalley-greek-yogurt-strawberry-5.3oz,CreamValley,Single-serve strawberry Greek yogurt with real fruit Perfect for the whole family! Great value.,5oz,Home > Shop > Food > Dairy,1.49,,92.0,2.5,12.0,3.3,300,In Stock,Best Seller,2026-08-07T09:26:32.463000-07:00
SCR-0015,CreamValley Vanilla Bean Yogurt 6oz | CreamValley | Buy Online,https://shopmart.example.com/products/creamvalley-vanilla-bean-yogurt-6oz,CREAMVALLEY,Smooth and creamy vanilla bean low-fat yogurt Perfect for the whole family! Great value.,6 OZ,Home > Shop > Food > Dairy,1.55,,85.0,1.5,15.0,4.0,300,Low Stock,SALE - Save 20%!,2026-08-10T09:26:32.463000-07:00
SCR-0016,WisconsinPride Sharp Cheddar 8oz | WisconsinPride | Buy Online,https://shopmart.example.com/products/wisconsinpride-sharp-cheddar-8oz,WISCONSINPRIDE,Aged 12 months Wisconsin sharp cheddar block Perfect for the whole family! Great value.,8 oz,Home > Shop > Food > Dairy,4.99,,403.0,33.0,25.0,3.5,271,Low Stock,Best Seller,2026-07-26T09:26:32.463000-07:00
SCR-0017,WisconsinPride Mozzarella Shredded 16oz | WisconsinPride | Buy Online,https://shopmart.example.com/products/wisconsinpride-mozzarella-shredded-16oz,WisconsinPride,"Low-moisture part-skim mozzarella, pre-shredded Perfect for the whole family! Great value.",16oz,Home > Shop > Food > Dairy,5.49,,280.0,17.0,28.0,4.9,271,In Stock,,2026-08-01T09:26:32.463000-07:00
SCR-0018,PureDairy Heavy Cream 16 fl oz | PureDairy | Buy Online,https://shopmart.example.com/products/puredairy-heavy-cream-16-fl-oz,PureDairy,"Ultra-pasteurized heavy whipping cream, 36% fat Perfect for the whole family! Great value.",16 fl oz,Home > Shop > Food > Dairy,4.79,Contains milk,340.0,36.0,2.1,4.3,114,In Stock,,2026-07-18T09:26:32.463000-07:00
SCR-0019,CreamValley Cottage Cheese 16oz | CreamValley | Buy Online,https://shopmart.example.com/products/creamvalley-cottage-cheese-16oz,CREAMVALLEY,"Small curd cottage cheese, 4% milkfat Perfect for the whole family! Great value.",16oz,Home > Shop > Food > Dairy,5.19,Contains milk,11.0,4.3,3.4,3.0,300,In Stock,,2026-07-31T09:26:32.463000-07:00
SCR-0020,PureDairy Butter Unsalted 1lb | PureDairy | Buy Online,https://shopmart.example.com/products/puredairy-butter-unsalted-1lb,PureDairy,"Sweet cream unsalted butter, churned fresh Perfect for the whole family! Great value.",16oz,Home > Shop > Food > Dairy,5.29,Contains milk,717.0,81.0,0.9,4.1,114,In Stock,,2026-07-30T09:26:32.463000-07:00
SCR-0021,FreshSqueeze Orange Juice No Pulp 52oz | FreshSqueeze | Buy Online,https://shopmart.example.com/products/freshsqueeze-orange-juice-no-pulp-52oz,FreshSqueeze,"100% fresh-squeezed orange juice, not from concentrate Perfect for the whole family! Great value.",52 FL OZ,Home > Shop > Food > Beverages,4.99,,44.0,0.1,0.7,4.4,111,In Stock,SALE - Save 20%!,2026-07-17T09:26:32.463000-07:00
SCR-0022,FreshSqueeze Apple Juice 64oz | FreshSqueeze | Buy Online,https://shopmart.example.com/products/freshsqueeze-apple-juice-64oz,FreshSqueeze,100% pressed apple juice from Washington state apples Perfect for the whole family! Great value.,64fl oz,Home > Shop > Food > Beverages,3.99,,46.0,0.1,0.1,4.1,111,In Stock,Best Seller,2026-07-20T09:26:32.463000-07:00
