SCRAPED_ID,TITLE,SEARCH_TEXT
SCR-0001,GoldenHarvest Oat Flakes 18oz | GoldenHarvest | Buy Online,"GoldenHarvest Whole grain rolled oats, lightly toasted for a hearty breakfast Perfect for the whole family! Great value. | Price: $4.29 | Size: 18 oz | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Contains wheat and oats (gluten) | Rating: 3.1/5 (250 reviews) | "
SCR-0002,GoldenHarvest Honey Granola 16oz | GoldenHarvest | Buy Online,"GoldenHarvest Crunchy granola clusters with real honey and whole grain oats Perfect for the whole family! Great value. | Price: $5.49 | Size: 16oz | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Contains wheat, oats (gluten) and tree nuts | Rating: 4.1/5 (250 reviews) | "
SCR-0003,MorningField Bran Flakes 14oz | MorningField | Buy Online,MorningField High-fiber bran cereal with essential vitamins and minerals Perfect for the whole family! Great value. | Price: $3.79 | Size: 14 oz | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Contains wheat (gluten) | Rating: 3.9/5 (143 reviews) | 
SCR-0004,MorningField Fruit & Nut Muesli 20oz | MorningField | Buy Online,"MorningField Swiss-style muesli with dried cranberries, raisins and almonds Perfect for the whole family! Great value. | Price: $6.99 | Size: 20 oz | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Contains wheat (gluten), milk, and tree nuts | Rating: 4.7/5 (143 reviews) | "
SCR-0005,NaturePath Organic Corn Flakes 12oz | NaturePath | Buy Online,NaturePath Simple organic corn flakes with no added sugar Perfect for the whole family! Great value. | Price: $4.49 | Size: 12 oz | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Gluten-free facility. No major allergens | Rating: 3.9/5 (251 reviews) | 
SCR-0006,NaturePath Steel Cut Oats 24oz | NaturePath | Buy Online,NaturePath Premium steel-cut oats for slow-cooked porridge Perfect for the whole family! Great value. | Price: $5.99 | Size: 24 oz | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Contains oats (gluten). Processed in a facility that handles tree nuts | Rating: 3.1/5 (251 reviews) | 
SCR-0007,SunriseGrains Chocolate Puffs 13oz | SunriseGrains | Buy Online,SunriseGrains Crispy chocolate-flavored puffed rice cereal Perfect for the whole family! Great value. | Price: $3.99 | Size: 13oz | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Contains milk and soy | Rating: 4.1/5 (244 reviews) | 
SCR-0008,SunriseGrains Protein Crunch 15oz | SunriseGrains | Buy Online,SunriseGrains High-protein cereal with soy crisps and flaxseed Perfect for the whole family! Great value. | Price: $6.49 | Size: 15oz | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Not listed | Rating: 3.8/5 (244 reviews) | SALE - Save 20%!
SCR-0009,GoldenHarvest Instant Oatmeal Variety 10pk | GoldenHarvest | Buy Online,"GoldenHarvest Assorted instant oatmeal packets - maple, apple cinnamon, original Perfect for the whole family! Great value. | Price: $4.99 | Size: 10 ct | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Not listed | Rating: 4.7/5 (250 reviews) | Best Seller"
SCR-0010,MorningField Cinnamon Squares 14.5oz | MorningField | Buy Online,MorningField Crunchy cinnamon-flavored whole wheat squares Perfect for the whole family! Great value. | Price: $4.19 | Size: 14.5 oz | Category: Home > Shop > Food > Breakfast Cereals | Allergens: Contains wheat (gluten) and soy | Rating: 4.7/5 (143 reviews) | 
SCR-0011,PureDairy Whole Milk 1 Gallon | PureDairy | Buy Online,"PureDairy Fresh pasteurized whole milk from local farms, Vitamin D added Perfect for the whole family! Great value. | Price: $4.59 | Size: 128 fl oz | Category: Home > Shop > Food > Dairy | Allergens: Contains milk | Rating: 3.9/5 (114 reviews) | "
SCR-0012,PureDairy 2% Reduced Fat Milk Half Gallon | PureDairy | Buy Online,PUREDAIRY Reduced fat milk with Vitamin A and D Perfect for the whole family! Great value. | Price: $3.29 | Size: 64fl oz | Category: Home > Shop > Food > Dairy | Allergens: Contains milk | Rating: 4.5/5 (114 reviews) | 
SCR-0013,CreamValley Greek Yogurt Plain 32oz | CreamValley | Buy Online,"CreamValley Thick and creamy strained Greek yogurt, no added sugar Perfect for the whole family! Great value. | Price: $5.99 | Size: 32oz | Category: Home > Shop > Food > Dairy | Allergens: Contains milk | Rating: 4.2/5 (300 reviews) | "
SCR-0014,CreamValley Greek Yogurt Strawberry 5.3oz | CreamValley | Buy Online,CreamValley Single-serve strawberry Greek yogurt with real fruit Perfect for the whole family! Great value. | Price: $1.49 | Size: 5oz | Category: Home > Shop > Food > Dairy | Allergens: Not listed | Rating: 3.3/5 (300 reviews) | Best Seller
SCR-0015,CreamValley Vanilla Bean Yogurt 6oz | CreamValley | Buy Online,CREAMVALLEY Smooth and creamy vanilla bean low-fat yogurt Perfect for the whole family! Great value. | Price: $1.55 | Size: 6 OZ | Category: Home > Shop > Food > Dairy | Allergens: Not listed | Rating: 4.0/5 (300 reviews) | SALE - Save 20%!
SCR-0016,WisconsinPride Sharp Cheddar 8oz | WisconsinPride | Buy Online,WISCONSINPRIDE Aged 12 months Wisconsin sharp cheddar block Perfect for the whole family! Great value. | Price: $4.99 | Size: 8 oz | Category: Home > Shop > Food > Dairy | Allergens: Not listed | Rating: 3.5/5 (271 reviews) | Best Seller
SCR-0017,WisconsinPride Mozzarella Shredded 16oz | WisconsinPride | Buy Online,"WisconsinPride Low-moisture part-skim mozzarella, pre-shredded Perfect for the whole family! Great value. | Price: $5.49 | Size: 16oz | Category: Home > Shop > Food > Dairy | Allergens: Not listed | Rating: 4.9/5 (271 reviews) | "
SCR-0018,PureDairy Heavy Cream 16 fl oz | PureDairy | Buy Online,"PureDairy Ultra-pasteurized heavy whipping cream, 36% fat Perfect for the whole family! Great value. | Price: $4.79 | Size: 16 fl oz | Category: Home > Shop > Food > Dairy | Allergens: Contains milk | Rating: 4.3/5 (114 reviews) | "
SCR-0019,CreamValley Cottage Cheese 16oz | CreamValley | Buy Online,"CREAMVALLEY Small curd cottage cheese, 4% milkfat Perfect for the whole family! Great value. | Price: $5.19 | Size: 16oz | Category: Home > Shop > Food > Dairy | Allergens: Contains milk | Rating: 3.0/5 (300 reviews) | "
SCR-0020,PureDairy Butter Unsalted 1lb | PureDairy | Buy Online,"PureDairy Sweet cream unsalted butter, churned fresh Perfect for the whole family! Great value. | Price: $5.29 | Size: 16oz | Category: Home > Shop > Food > Dairy | Allergens: Contains milk | Rating: 4.1/5 (114 reviews) | "
SCR-0021,FreshSqueeze Orange Juice No Pulp 52oz | FreshSqueeze | Buy Online,"FreshSqueeze 100% fresh-squeezed orange juice, not from concentrate Perfect for the whole family! Great value. | Price: $4.99 | Size: 52 FL OZ | Category: Home > Shop > Food > Beverages | Allergens: Not listed | Rating: 4.4/5 (111 reviews) | SALE - Save 20%!"
SCR-0022,FreshSqueeze Apple Juice 64oz | FreshSqueeze | Buy Online,FreshSqueeze 100% pressed apple juice from Washington state apples Perfect for the whole family! Great value. | Price: $3.99 | Size: 64fl oz | Category: Home > Shop > Food > Beverages | Allergens: Not listed | Rating: 4.1/5 (111 reviews) | Best Seller
